,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Category,Duration_h
1412,Air India,12/03/2019,Mumbai,Hyderabad,BOM → AMD → ISK → HYD,01:35,14:50,13h 15m,2 stops,No info,9977.0,Long-haul,13.25h
1413,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 07 Jun,22h 55m,2 stops,In-flight meal not included,10368.0,Extreme duration,22.916666666666668h
1417,Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,15:50,18:45,2h 55m,non-stop,In-flight meal not included,4544.0,Short-haul,2.9166666666666665h
1418,SpiceJet,18/05/2019,Kolkata,Banglore,CCU → BLR,14:55,17:25,2h 30m,non-stop,No check-in baggage included,3841.0,Short-haul,2.5h
1419,Jet Airways,6/03/2019,Mumbai,Hyderabad,BOM → DED → DEL → HYD,14:20,16:50 07 Mar,26h 30m,2 stops,No info,24115.0,Extreme duration,26.5h
1420,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,09:05 25 May,25h 55m,1 stop,No info,9502.0,Extreme duration,25.916666666666668h
1422,SpiceJet,15/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,4319.0,Short-haul,2.6666666666666665h
1423,IndiGo,1/05/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No info,2227.0,Short-haul,1.5833333333333335h
1424,SpiceJet,24/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 25 Mar,2h 20m,non-stop,No info,5831.0,Short-haul,2.3333333333333335h
1425,IndiGo,9/06/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 10 Jun,2h 40m,non-stop,No info,4804.0,Short-haul,2.6666666666666665h
1426,IndiGo,6/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5458.0,Short-haul,4.583333333333333h
1427,Jet Airways,9/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,7229.0,Short-haul,3.0833333333333335h
1428,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 07 Jun,15h 10m,1 stop,No info,14571.0,Long-haul,15.166666666666666h
1429,SpiceJet,9/06/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 10 Jun,2h 55m,non-stop,No check-in baggage included,3919.0,Short-haul,2.9166666666666665h
1430,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,6916.0,Medium,9.083333333333334h
1431,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 28 Mar,15h 25m,1 stop,In-flight meal not included,6960.0,Long-haul,15.416666666666666h
1432,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,14:25,4h 40m,1 stop,No info,16757.0,Short-haul,4.666666666666667h
1433,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:35 07 Mar,9h 35m,1 stop,No info,14871.0,Medium,9.583333333333334h
1434,IndiGo,12/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5054.0,Short-haul,4.583333333333333h
1436,IndiGo,15/04/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,5054.0,Short-haul,2.9166666666666665h
1439,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 22 May,20h 10m,1 stop,No info,16079.0,Extreme duration,20.166666666666668h
1440,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 07 May,25h 20m,1 stop,No info,13067.0,Extreme duration,25.333333333333332h
1441,IndiGo,12/06/2019,Delhi,Cochin,DEL → HYD → COK,05:05,16:10,11h 5m,1 stop,No info,6818.0,Long-haul,11.083333333333334h
1442,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,08:15 13 May,23h 50m,1 stop,No info,13941.0,Extreme duration,23.833333333333332h
1443,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,12927.0,Long-haul,10.0h
1445,Jet Airways,1/04/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 02 Apr,20h 35m,1 stop,In-flight meal not included,5406.0,Extreme duration,20.583333333333332h
1446,IndiGo,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:45,01:35 22 Mar,14h 50m,1 stop,No info,7318.0,Long-haul,14.833333333333334h
1449,Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,13:15,7h 30m,1 stop,In-flight meal not included,9134.0,Medium,7.5h
1450,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,21:20,7h 15m,1 stop,In-flight meal not included,7832.0,Medium,7.25h
1451,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,07:40 07 Mar,22h 45m,1 stop,No info,14815.0,Extreme duration,22.75h
1452,IndiGo,3/06/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 04 Jun,2h 50m,non-stop,No info,4591.0,Short-haul,2.8333333333333335h
1453,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 10 May,20h 10m,1 stop,In-flight meal not included,12373.0,Extreme duration,20.166666666666668h
1454,Air Asia,09/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,non-stop,No info,4284.0,Short-haul,2.8333333333333335h
1455,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,04:40 19 May,22h 55m,1 stop,,13941.0,Extreme duration,22.916666666666668h
1456,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,17:25,18:50 10 Mar,25h 25m,1 stop,No info,16289.0,Extreme duration,25.416666666666668h
1458,Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,8016.0,Short-haul,2.75h
1459,Air Asia,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40 02 Apr,12h,1 stop,No info,5192.0,Long-haul,12.0h
1461,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,09:30 02 Mar,21h 50m,1 stop,No info,25735.0,Extreme duration,21.833333333333332h
1462,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,14502.0,Medium,9.0h
1463,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,12:25 13 Mar,13h 30m,1 stop,No info,13817.0,Long-haul,13.5h
1464,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,14151.0,Medium,8.416666666666666h
1465,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,10:45,19:15,8h 30m,1 stop,No info,15077.0,Medium,8.5h
1467,SpiceJet,21/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965.0,Short-haul,1.5h
1468,IndiGo,18/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3850.0,Short-haul,2.3333333333333335h
1469,IndiGo,1/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175.0,Short-haul,1.5h
1470,Jet Airways,21/05/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,7229.0,Short-haul,3.0833333333333335h
1471,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:00 28 May,23h 45m,1 stop,No info,16079.0,Extreme duration,23.75h
1472,IndiGo,27/03/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,4392.0,Short-haul,1.5h
1473,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,00:45 16 Mar,6h 5m,1 stop,No info,54826.0,Medium,6.083333333333333h
1474,Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included,10368.0,Medium,9.333333333333334h
1476,Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,12:30 02 May,19h 45m,2 stops,No info,14960.0,Extreme duration,19.75h
1478,SpiceJet,21/05/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597.0,Short-haul,2.25h
1479,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No info,18804.0,Medium,7.333333333333333h
1481,IndiGo,9/06/2019,Delhi,Cochin,DEL → COK,21:05,00:20 10 Jun,3h 15m,non-stop,No info,5054.0,Short-haul,3.25h
1482,Air India,18/05/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6121.0,Short-haul,2.8333333333333335h
1483,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,6287.0,Medium,7.25h
1484,Jet Airways,9/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229.0,Short-haul,2.9166666666666665h
1485,IndiGo,12/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No info,6442.0,Medium,7.583333333333333h
1486,Jet Airways,27/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,4544.0,Short-haul,2.9166666666666665h
1488,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 22 May,8h 40m,1 stop,No info,16079.0,Medium,8.666666666666666h
1489,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,6076.0,Medium,9.083333333333334h
1490,Air India,1/04/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,01:20 02 Apr,15h 20m,2 stops,No info,10408.0,Long-haul,15.333333333333334h
1491,Air India,27/03/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,19:15 28 Mar,37h 20m,2 stops,No info,8446.0,Extreme duration,37.333333333333336h
1493,Air India,15/05/2019,Delhi,Cochin,DEL → BLR → COK,20:30,08:15 16 May,11h 45m,1 stop,No info,10671.0,Long-haul,11.75h
1494,Air Asia,18/06/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 19 Jun,2h 50m,non-stop,No info,3383.0,Short-haul,2.8333333333333335h
1497,Jet Airways,6/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,11:45,04:25 07 Jun,16h 40m,2 stops,In-flight meal not included,11992.0,Long-haul,16.666666666666668h
1498,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597.0,Short-haul,2.3333333333333335h
1499,IndiGo,9/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,4077.0,Short-haul,2.75h
1501,SpiceJet,1/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 02 Apr,2h 20m,non-stop,No info,3873.0,Short-haul,2.3333333333333335h
1502,Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 10 May,23h 50m,2 stops,No info,15129.0,Extreme duration,23.833333333333332h
1503,IndiGo,9/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Jun,8h,1 stop,No info,6104.0,Medium,8.0h
1504,Jet Airways,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25 08 Mar,33h 15m,2 stops,In-flight meal not included,16022.0,Extreme duration,33.25h
1505,Jet Airways,09/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,00:30 13 Mar,14h 45m,1 stop,In-flight meal not included,10562.0,Long-haul,14.75h
1506,Air India,9/03/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 10 Mar,27h 20m,1 stop,No info,10945.0,Extreme duration,27.333333333333332h
1507,SpiceJet,27/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873.0,Short-haul,2.4166666666666665h
1508,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,1840.0,Short-haul,1.5h
1509,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,04:55,12:00,7h 5m,1 stop,No info,9585.0,Medium,7.083333333333333h
1510,Jet Airways,18/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210.0,Short-haul,1.5h
1511,IndiGo,9/05/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6147.0,Short-haul,4.833333333333333h
1514,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,10877.0,Long-haul,11.5h
1515,Air India,9/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 10 May,21h 15m,2 stops,,10441.0,Extreme duration,21.25h
1516,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,21:00,16h 15m,1 stop,No info,13611.0,Long-haul,16.25h
1517,Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:45 13 Mar,25h 50m,1 stop,In-flight meal not included,11087.0,Extreme duration,25.833333333333332h
1518,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:45 28 Mar,24h 30m,1 stop,In-flight meal not included,5963.0,Extreme duration,24.5h
1519,IndiGo,24/05/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597.0,Short-haul,2.3333333333333335h
1520,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 13 Jun,15h 10m,1 stop,In-flight meal not included,8529.0,Long-haul,15.166666666666666h
1521,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No info,10197.0,Long-haul,14.083333333333334h
1522,IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,08:25,21:00,12h 35m,1 stop,No info,8285.0,Long-haul,12.583333333333334h
1523,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,No info,18371.0,Long-haul,10.333333333333334h
1524,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 07 Jun,13h 20m,1 stop,No info,12692.0,Long-haul,13.333333333333334h
1525,IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,4423.0,Short-haul,2.75h
1526,Jet Airways,9/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,11507.0,Short-haul,3.0h
1527,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,23:30,02:20 04 Mar,2h 50m,non-stop,No info,6144.0,Short-haul,2.8333333333333335h
1528,Jet Airways,1/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 02 Jun,21h 40m,2 stops,In-flight meal not included,10919.0,Extreme duration,21.666666666666668h
1529,IndiGo,27/03/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 28 Mar,2h 40m,non-stop,No info,4148.0,Short-haul,2.6666666666666665h
1530,SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,20:30,23:20,2h 50m,non-stop,No check-in baggage included,3873.0,Short-haul,2.8333333333333335h
1531,Jet Airways,21/03/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,18:50,9h 10m,2 stops,No info,11702.0,Medium,9.166666666666666h
1532,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:35 07 Mar,8h 25m,1 stop,No info,14871.0,Medium,8.416666666666666h
1533,Air India,18/03/2019,Banglore,New Delhi,BLR → BOM → IDR → DEL,06:45,11:10 16 Mar,28h 25m,2 stops,No info,11234.0,Extreme duration,28.416666666666668h
1534,IndiGo,6/06/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,6938.0,Medium,8.166666666666666h
1535,IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,21:00,12h 30m,1 stop,,6093.0,Long-haul,12.5h
1537,Jet Airways,6/06/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040.0,Short-haul,1.5h
1538,Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 10 May,13h 30m,2 stops,No info,15129.0,Long-haul,13.5h
1539,SpiceJet,9/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,3597.0,Short-haul,2.3333333333333335h
1541,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,13067.0,Medium,6.583333333333333h
1542,SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,4991.0,Short-haul,2.8333333333333335h
1545,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,In-flight meal not included,12898.0,Long-haul,11.0h
1546,Jet Airways,27/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,19:45 28 Mar,37h 25m,2 stops,In-flight meal not included,9296.0,Extreme duration,37.416666666666664h
1547,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,8855.0,Short-haul,2.8333333333333335h
1548,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 07 Jun,21h 10m,1 stop,,10262.0,Extreme duration,21.166666666666668h
1550,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,9001.0,Medium,6.416666666666667h
1551,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,01:30 19 May,15h 10m,1 stop,No info,7670.0,Long-haul,15.166666666666666h
1552,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 04 Jun,7h 45m,1 stop,No info,7530.0,Medium,7.75h
1553,IndiGo,1/05/2019,Kolkata,Banglore,CCU → PAT → BLR,09:20,14:15,4h 55m,1 stop,No info,8443.0,Short-haul,4.916666666666667h
1554,SpiceJet,1/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5351.0,Medium,5.25h
1556,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,19:10 13 Mar,22h 35m,1 stop,In-flight meal not included,11087.0,Extreme duration,22.583333333333332h
1557,Air India,15/03/2019,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50,12:05 16 Mar,30h 15m,2 stops,No info,7664.0,Extreme duration,30.25h
1559,GoAir,27/06/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,3514.0,Short-haul,2.5833333333333335h
1560,Jet Airways,24/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 25 Jun,21h 40m,2 stops,No info,13376.0,Extreme duration,21.666666666666668h
1561,Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,08:10,12:35 13 Jun,28h 25m,2 stops,No info,14300.0,Extreme duration,28.416666666666668h
1563,IndiGo,12/05/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227.0,Short-haul,1.5h
1565,Air Asia,24/05/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4409.0,Short-haul,2.5833333333333335h
1566,Air India,3/04/2019,Kolkata,Banglore,CCU → BBI → HYD → BLR,09:10,11:05 04 Apr,25h 55m,2 stops,No info,4647.0,Extreme duration,25.916666666666668h
1567,SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No check-in baggage included,3332.0,Short-haul,2.5833333333333335h
1569,Air Asia,6/06/2019,Kolkata,Banglore,CCU → BBI → BLR,19:55,23:30,3h 35m,1 stop,No info,6857.0,Short-haul,3.5833333333333335h
1570,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 10 May,9h 10m,1 stop,In-flight meal not included,12373.0,Medium,9.166666666666666h
1572,Air India,9/05/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40 10 May,14h 25m,2 stops,No info,13039.0,Long-haul,14.416666666666666h
1573,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,11:25 13 Mar,12h 30m,1 stop,In-flight meal not included,11087.0,Long-haul,12.5h
1574,Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25 19 May,27h 5m,1 stop,No info,9345.0,Extreme duration,27.083333333333332h
1575,SpiceJet,24/06/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 25 Jun,1h 30m,non-stop,,1965.0,Short-haul,1.5h
1576,IndiGo,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,6093.0,Long-haul,13.5h
1577,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 10 Jun,13h 20m,1 stop,In-flight meal not included,11841.0,Long-haul,13.333333333333334h
1578,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 10 May,12h 55m,1 stop,In-flight meal not included,9663.0,Long-haul,12.916666666666666h
1581,IndiGo,6/04/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5073.0,Short-haul,4.583333333333333h
1583,Air India,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,9194.0,Medium,9.25h
1584,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,No info,11789.0,Medium,7.333333333333333h
1585,SpiceJet,12/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2017.0,Short-haul,1.5h
1587,IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419.0,Short-haul,2.75h
1588,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 10 Jun,22h 55m,2 stops,In-flight meal not included,10368.0,Extreme duration,22.916666666666668h
1589,IndiGo,24/04/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6027.0,Short-haul,4.833333333333333h
1590,Air India,18/05/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 19 May,12h 45m,1 stop,No info,7480.0,Long-haul,12.75h
1592,Air India,15/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,7276.0,Short-haul,2.75h
1593,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 07 Mar,16h 55m,1 stop,No info,15764.0,Long-haul,16.916666666666668h
1594,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 07 Jun,9h 10m,1 stop,No info,14714.0,Medium,9.166666666666666h
1596,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 07 Jun,20h 25m,1 stop,In-flight meal not included,11507.0,Extreme duration,20.416666666666668h
1597,Jet Airways,18/05/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 19 May,8h 25m,2 stops,In-flight meal not included,15318.0,Medium,8.416666666666666h
1598,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608.0,Medium,7.25h
1599,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,12681.0,Medium,9.833333333333334h
1600,Air India,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,17:15,09:25 07 Mar,16h 10m,2 stops,No info,9417.0,Long-haul,16.166666666666668h
1601,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,21:00,13h 55m,1 stop,No info,17057.0,Long-haul,13.916666666666666h
1602,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,12537.0,Medium,8.0h
1603,Air India,27/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 May,21h 15m,2 stops,No info,10651.0,Extreme duration,21.25h
1604,Vistara,1/06/2019,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No info,6741.0,Short-haul,3.1666666666666665h
1605,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,22:35 25 May,26h 35m,1 stop,In-flight meal not included,10844.0,Extreme duration,26.583333333333332h
1606,Air India,27/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 28 May,28h 50m,2 stops,No info,13381.0,Extreme duration,28.833333333333332h
1607,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,4423.0,Short-haul,2.75h
1608,Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678.0,Short-haul,1.5h
1609,Jet Airways,21/05/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 22 May,27h,2 stops,In-flight meal not included,12719.0,Extreme duration,27.0h
1610,IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5054.0,Short-haul,4.583333333333333h
1611,Air India,24/05/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 25 May,23h 40m,1 stop,No info,7480.0,Extreme duration,23.666666666666668h
1612,Air India,3/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,6961.0,Short-haul,2.75h
1613,SpiceJet,24/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841.0,Short-haul,2.5h
1614,IndiGo,3/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 04 Jun,3h,non-stop,No info,3943.0,Short-haul,3.0h
1616,SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,3873.0,Short-haul,2.8333333333333335h
1617,IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,4423.0,Short-haul,2.8333333333333335h
1618,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 22 May,5h 35m,1 stop,No info,16079.0,Medium,5.583333333333333h
1619,Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,7754.0,Short-haul,3.0h
1620,Air India,1/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 02 Jun,20h 10m,2 stops,No info,10467.0,Extreme duration,20.166666666666668h
1622,Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → BLR,16:45,21:05 02 May,28h 20m,1 stop,No info,7452.0,Extreme duration,28.333333333333332h
