,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Category
3371,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,9646.0,Long-haul
3372,Air Asia,15/05/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 16 May,10h 25m,1 stop,,6853.0,Long-haul
3374,IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 16 Jun,8h,1 stop,No info,5883.0,Medium
3375,IndiGo,9/03/2019,Delhi,Cochin,DEL → HYD → COK,04:55,12:00,7h 5m,1 stop,No info,6171.0,Medium
3376,IndiGo,21/05/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175.0,Short-haul
3377,IndiGo,27/03/2019,Delhi,Cochin,DEL → AMD → COK,07:45,13:40,5h 55m,1 stop,No info,4832.0,Medium
3378,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 02 Jun,9h 30m,1 stop,No info,13377.0,Medium
3379,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 25 Jun,8h 40m,1 stop,In-flight meal not included,10262.0,Medium
3382,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 Jun,22h 10m,1 stop,In-flight meal not included,8586.0,Extreme duration
3383,Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 22 May,12h 45m,1 stop,No info,8452.0,Long-haul
3384,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,18:10 25 Mar,23h 15m,1 stop,No info,14231.0,Extreme duration
3385,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,16289.0,Long-haul
3387,IndiGo,9/05/2019,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No info,2754.0,Short-haul
3388,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,9646.0,Long-haul
3390,IndiGo,21/04/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804.0,Short-haul
3394,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 02 May,18h 10m,1 stop,In-flight meal not included,8586.0,Extreme duration
3395,IndiGo,9/06/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 10 Jun,2h 20m,non-stop,No info,5277.0,Short-haul
3397,Air Asia,12/04/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,4483.0,Short-haul
3398,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50 25 May,25h 50m,1 stop,No info,9870.0,Extreme duration
3399,SpiceJet,27/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841.0,Short-haul
3400,SpiceJet,27/03/2019,Kolkata,Banglore,CCU → BLR,09:00,11:30,2h 30m,non-stop,No check-in baggage included,3815.0,Short-haul
3402,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,10:55 02 May,14h 30m,1 stop,No info,12121.0,Long-haul
3403,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,18:50,8h 55m,1 stop,In-flight meal not included,5963.0,Medium
3404,SpiceJet,6/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3625.0,Short-haul
3405,SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841.0,Short-haul
3406,IndiGo,12/06/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,4823.0,Short-haul
3407,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,6h 25m,1 stop,No info,9646.0,Medium
3408,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,10152.0,Long-haul
3409,IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15h 40m,1 stop,No info,5054.0,Long-haul
3410,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,18:25,11h 25m,1 stop,No info,16736.0,Long-haul
3411,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 07 May,15h 10m,1 stop,No info,13584.0,Long-haul
3413,IndiGo,1/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,5054.0,Short-haul
3414,Vistara,24/03/2019,Banglore,New Delhi,BLR → DEL,12:00,14:40,2h 40m,non-stop,No info,7608.0,Short-haul
3415,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20 13 May,20h 20m,1 stop,In-flight meal not included,10844.0,Extreme duration
3416,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,17:00,01:30 10 Jun,8h 30m,1 stop,No info,7408.0,Medium
3417,Vistara,18/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,Short-haul
3418,SpiceJet,3/03/2019,Delhi,Cochin,DEL → BLR → COK,16:35,22:50,6h 15m,1 stop,No info,11726.0,Medium
3419,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,09:20 07 May,26h 50m,1 stop,In-flight meal not included,9663.0,Extreme duration
3420,Air India,24/03/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,13:45 25 Mar,30h 45m,2 stops,No info,12829.0,Extreme duration
3421,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,6069.0,Medium
3422,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50 13 Jun,27h 20m,1 stop,In-flight meal not included,8529.0,Extreme duration
3424,Vistara,15/05/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,8028.0,Short-haul
3426,IndiGo,9/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 10 May,5h 15m,1 stop,No info,7605.0,Medium
3427,Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 16 Jun,22h 55m,2 stops,No info,13014.0,Extreme duration
3428,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:20,14h 45m,1 stop,No info,11600.0,Long-haul
3429,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 13 May,16h 45m,1 stop,No info,14151.0,Long-haul
3430,Air India,24/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,13:15,07:40 25 Jun,18h 25m,2 stops,No info,12497.0,Extreme duration
3431,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,18:50,16h 35m,1 stop,No info,17024.0,Long-haul
3434,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:30 02 Jun,12h 40m,1 stop,No info,6795.0,Long-haul
3435,IndiGo,3/03/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:30,1h 25m,non-stop,No info,5755.0,Short-haul
3436,Air India,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,16:15 13 May,19h 45m,1 stop,No info,10203.0,Extreme duration
3437,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 07 Jun,16h 55m,1 stop,No info,14714.0,Long-haul
3438,IndiGo,18/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 19 Mar,2h 50m,non-stop,No info,4545.0,Short-haul
3439,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,20:45,14h 15m,1 stop,No info,14781.0,Long-haul
3440,Air India,12/03/2019,Banglore,New Delhi,BLR → TRV → COK → DEL,07:30,11:05 13 Mar,27h 35m,2 stops,No info,11602.0,Extreme duration
3441,IndiGo,6/05/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049.0,Short-haul
3444,Air India,9/06/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6961.0,Short-haul
3445,SpiceJet,15/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6381.0,Medium
3446,SpiceJet,1/04/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841.0,Short-haul
3447,Jet Airways,21/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,04:25 22 Mar,22h 5m,2 stops,No info,11538.0,Extreme duration
3448,Vistara,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,20:20 07 May,24h,1 stop,No info,8610.0,Extreme duration
3449,Air India,6/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,07:05,19:15 07 Mar,36h 10m,2 stops,No info,11552.0,Extreme duration
3450,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,21:00,14h,1 stop,No info,7408.0,Long-haul
3451,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 28 Jun,16h 50m,1 stop,In-flight meal not included,10262.0,Long-haul
3452,Air India,6/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55 07 May,27h 5m,2 stops,,10991.0,Extreme duration
3453,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,01:30 10 Jun,7h 15m,1 stop,No info,13587.0,Medium
3454,Air India,15/05/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 16 May,20h 55m,1 stop,No info,7480.0,Extreme duration
3455,IndiGo,09/03/2019,Banglore,New Delhi,BLR → IDR → DEL,17:55,22:55,5h,1 stop,No info,6351.0,Medium
3456,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,In-flight meal not included,7153.0,Medium
3458,IndiGo,15/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 16 May,5h 15m,1 stop,No info,5054.0,Medium
3459,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,11667.0,Long-haul
3460,SpiceJet,12/06/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649.0,Medium
3461,Air India,9/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,13:45 10 May,20h 55m,2 stops,No info,12592.0,Extreme duration
3462,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No info,11789.0,Medium
3463,Air India,1/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0,Short-haul
3464,Air Asia,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40 22 May,12h,1 stop,No info,9719.0,Long-haul
3465,Air India,27/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,6902.0,Medium
3466,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 22 May,8h 40m,1 stop,No info,14781.0,Medium
3467,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,22:35,14h 10m,1 stop,In-flight meal not included,10844.0,Long-haul
3468,Air India,24/03/2019,Kolkata,Banglore,CCU → IXZ → MAA → BLR,05:40,14:35 25 Mar,32h 55m,2 stops,No info,11522.0,Extreme duration
3471,Air Asia,24/03/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 25 Mar,2h 30m,non-stop,No info,5620.0,Short-haul
3474,Jet Airways,1/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 02 May,19h 55m,2 stops,No info,15129.0,Extreme duration
3477,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:10,19:15,10h 5m,1 stop,No info,10667.0,Long-haul
3478,IndiGo,12/06/2019,Kolkata,Banglore,CCU → PAT → BLR,09:20,14:15,4h 55m,1 stop,No info,11160.0,Short-haul
3479,Air India,27/05/2019,Delhi,Cochin,DEL → LKO → BOM → COK,12:20,19:15 28 May,30h 55m,2 stops,No info,12488.0,Extreme duration
3480,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,10844.0,Long-haul
3481,Air India,3/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Jun,26h 35m,2 stops,No info,9968.0,Extreme duration
3482,Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,5198.0,Short-haul
3483,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 02 May,14h 35m,1 stop,In-flight meal not included,8586.0,Long-haul
3484,IndiGo,18/05/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,4332.0,Short-haul
3485,IndiGo,6/05/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1 stop,,5069.0,Short-haul
3486,Jet Airways,6/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544.0,Short-haul
3487,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,15:30,11h 30m,1 stop,No info,14973.0,Long-haul
3488,Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → IDR → GWL → DEL,06:45,18:05 13 Mar,35h 20m,3 stops,No info,13387.0,Extreme duration
3489,SpiceJet,9/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3625.0,Short-haul
3490,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 25 May,28h 50m,1 stop,In-flight meal not included,10703.0,Extreme duration
3491,IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,7615.0,Short-haul
3495,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,9205.0,Long-haul
3496,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 10 May,5h 35m,1 stop,No info,15554.0,Medium
3497,SpiceJet,15/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 16 May,1h 30m,non-stop,No check-in baggage included,1965.0,Short-haul
3498,Air India,15/06/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5510.0,Short-haul
3499,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,8266.0,Medium
3500,IndiGo,27/05/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175.0,Short-haul
3502,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,21:00,12h 15m,1 stop,No info,10197.0,Long-haul
3503,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,No info,11507.0,Medium
3504,Air Asia,6/06/2019,Delhi,Cochin,DEL → BLR → COK,16:45,07:10 07 Jun,14h 25m,1 stop,No info,11410.0,Long-haul
3505,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50 02 Apr,27h 20m,1 stop,No info,12681.0,Extreme duration
3506,Jet Airways,6/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 07 May,26h 55m,2 stops,No info,15129.0,Extreme duration
3508,Air India,21/05/2019,Kolkata,Banglore,CCU → JAI → DEL → BLR,08:20,20:25,12h 5m,2 stops,No info,12324.0,Long-haul
3509,SpiceJet,15/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841.0,Short-haul
3510,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 25 Jun,22h 55m,2 stops,No info,13014.0,Extreme duration
3512,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,,12373.0,Medium
3514,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0,Short-haul
3515,Jet Airways,27/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,05:10,04:25 28 Mar,23h 15m,2 stops,In-flight meal not included,9412.0,Extreme duration
3516,Air India,27/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 May,21h 15m,2 stops,No info,10231.0,Extreme duration
3517,Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,15:50,18:45,2h 55m,non-stop,No info,7229.0,Short-haul
3519,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45 19 May,25h 50m,1 stop,In-flight meal not included,10844.0,Extreme duration
3520,IndiGo,27/05/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,7164.0,Medium
3522,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,5198.0,Short-haul
3523,SpiceJet,27/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,4319.0,Short-haul
3524,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 28 Jun,17h 20m,1 stop,In-flight meal not included,10262.0,Extreme duration
3525,Vistara,18/05/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6741.0,Short-haul
3527,Air India,01/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,23:55,12h 5m,1 stop,Change airports,26092.0,Long-haul
3528,Air India,27/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,19:15,8h 20m,2 stops,No info,11753.0,Medium
3530,Vistara,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1 stop,No info,8610.0,Long-haul
3531,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1 stop,No info,11507.0,Medium
3533,IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No info,2754.0,Short-haul
3534,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:00 07 Jun,25h,1 stop,No info,12692.0,Extreme duration
3535,IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,non-stop,No info,10067.0,Short-haul
3536,GoAir,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1 stop,No info,4959.0,Medium
3537,Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → IDR → DEL,08:50,11:10 02 Mar,26h 20m,2 stops,No info,19372.0,Extreme duration
3538,Air India,18/05/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,3100.0,Short-haul
3539,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,8405.0,Long-haul
3540,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,In-flight meal not included,6943.0,Medium
3541,SpiceJet,27/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841.0,Short-haul
3542,SpiceJet,6/06/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 07 Jun,1h 30m,non-stop,No info,2017.0,Short-haul
3545,Jet Airways,21/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,19:15,18:50 22 Mar,23h 35m,2 stops,In-flight meal not included,8938.0,Extreme duration
3546,SpiceJet,18/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4319.0,Short-haul
3547,SpiceJet,1/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 02 Apr,2h 55m,non-stop,No check-in baggage included,3573.0,Short-haul
3548,SpiceJet,3/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841.0,Short-haul
3549,Jet Airways,27/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202.0,Short-haul
3550,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:55,5h 55m,1 stop,No info,9187.0,Medium
3551,GoAir,3/06/2019,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,6976.0,Medium
3552,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,12:35 22 May,18h 20m,1 stop,,12898.0,Extreme duration
3553,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 28 May,26h 10m,1 stop,In-flight meal not included,12898.0,Extreme duration
3554,Jet Airways,15/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,19:00 16 Jun,21h 35m,2 stops,In-flight meal not included,10588.0,Extreme duration
3555,Air India,24/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 25 Jun,21h 15m,2 stops,No info,9181.0,Extreme duration
3558,Jet Airways,6/04/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,4886.0,Short-haul
3559,IndiGo,21/03/2019,Delhi,Cochin,DEL → BBI → COK,02:35,08:30,5h 55m,1 stop,No info,8470.0,Medium
3562,Air India,9/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 10 Mar,26h 35m,2 stops,No info,11911.0,Extreme duration
3563,Air India,15/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907.0,Long-haul
3564,SpiceJet,9/05/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3859.0,Short-haul
3565,Air Asia,24/06/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 25 Jun,2h 30m,non-stop,No info,3807.0,Short-haul
3566,Air Asia,6/03/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4384.0,Short-haul
3567,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,12:35,7h 40m,1 stop,No info,11622.0,Medium
3568,Vistara,24/03/2019,Banglore,New Delhi,BLR → DEL,19:40,22:20,2h 40m,non-stop,No info,4563.0,Short-haul
3569,SpiceJet,1/04/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965.0,Short-haul
3570,Air India,24/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145.0,Short-haul
3571,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,20:40 25 Mar,23h 30m,1 stop,In-flight meal not included,10031.0,Extreme duration
3572,Air India,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,17:00,23:10,6h 10m,1 stop,,11628.0,Medium
3573,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,10262.0,Medium
3574,SpiceJet,24/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2017.0,Short-haul
3575,Vistara,27/04/2019,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No info,6216.0,Short-haul
3576,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,01:30 16 May,13h 55m,3 stops,No info,16294.0,Long-haul
3577,IndiGo,3/06/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,Short-haul
3578,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1 stop,No info,7038.0,Medium
3579,SpiceJet,09/03/2019,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,7h 55m,1 stop,No info,7294.0,Medium
3582,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,12507.0,Medium
3583,Air Asia,21/05/2019,Delhi,Cochin,DEL → BLR → COK,07:55,22:30,14h 35m,1 stop,No info,6152.0,Long-haul
3584,Air India,1/04/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,8030.0,Long-haul
3585,Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,5769.0,Short-haul
3586,IndiGo,6/06/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804.0,Short-haul
3587,Air India,18/05/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 19 May,23h 40m,1 stop,No info,8372.0,Extreme duration
3588,Jet Airways,15/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,14:25,4h 40m,1 stop,No info,8578.0,Short-haul
3589,Air India,18/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 19 May,21h 15m,2 stops,No info,11228.0,Extreme duration
3590,Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55 02 May,23h 5m,2 stops,No info,13227.0,Extreme duration
3591,IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,non-stop,No info,8855.0,Short-haul
3594,IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,3943.0,Short-haul
3595,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,00:20,12:55,12h 35m,1 stop,In-flight meal not included,18260.0,Long-haul
3596,Air India,18/04/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,5228.0,Short-haul
3598,Air India,1/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,18:30 02 May,30h 30m,2 stops,No info,10151.0,Extreme duration
3599,IndiGo,6/05/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,5699.0,Short-haul
3600,Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,10:45 22 May,27h 35m,1 stop,No info,9187.0,Extreme duration
3602,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,13961.0,Long-haul
3603,Jet Airways,24/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,5769.0,Short-haul
3606,Air India,6/05/2019,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 07 May,20h,2 stops,No info,17732.0,Extreme duration
3607,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 10 May,10h 10m,1 stop,In-flight meal not included,12373.0,Long-haul
3608,Air Asia,27/06/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,3807.0,Short-haul
3609,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1 stop,No info,9555.0,Long-haul
