,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,user_type_cat,duration_trim,duration_time,tire_sizes,ride_date
6985,4 minutes,22,Howard St at Beale St,37,2nd St at Folsom St,5130,2,1973,Male,2,4,4,27,2024-05-27
6986,11 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,4609,2,1989,Female,2,11,11,26,2022-10-20
6987,14 minutes,22,Howard St at Beale St,102,Irwin St at 8th St,5237,2,1978,Male,2,14,14,27,2023-09-24
6988,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,5269,1,1960,Male,1,4,4,27,2021-02-21
6989,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,5530,3,1992,Female,3,12,12,26,2025-08-26
6990,2 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,4808,2,1947,Male,2,2,2,27,2025-04-06
6991,3 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,1518,3,1950,Female,3,3,3,26,2021-04-20
6992,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),10,Washington St at Kearny St,5534,2,1986,Male,2,6,6,27,2023-07-12
6993,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,135,1,1980,Male,1,5,5,27,2024-11-17
6994,7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,873,1,1993,Female,1,7,7,26,2025-09-03
6995,4 minutes,3,Powell St BART Station (Market St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4931,1,1974,Male,1,4,4,27,2022-08-14
6996,3 minutes,22,Howard St at Beale St,21,Montgomery St BART Station (Market St at 2nd St),5284,3,1985,Male,3,3,3,27,2026-02-03
6997,9 minutes,22,Howard St at Beale St,81,Berry St at 4th St,5029,2,1979,Female,2,9,9,26,2022-11-03
6998,14 minutes,16,Steuart St at Market St,81,Berry St at 4th St,2627,2,1978,Female,2,14,14,26,2022-06-12
6999,5 minutes,22,Howard St at Beale St,13,Commercial St at Montgomery St,2743,3,1981,Female,3,5,5,27,2026-02-17
7000,4 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,4834,3,1984,Female,3,4,4,27,2025-11-28
7001,9 minutes,3,Powell St BART Station (Market St at 4th St),93,4th St at Mission Bay Blvd S,4964,2,1980,Male,2,9,9,27,2025-03-22
7002,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,5038,2,1976,Male,2,6,6,27,2021-10-23
7003,2 minutes,16,Steuart St at Market St,23,The Embarcadero at Steuart St,3589,3,1981,Male,3,2,2,26,2024-05-16
7004,9 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),5328,2,1996,Female,2,9,9,27,2022-11-30
7005,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,4586,1,1990,Male,1,7,7,27,2021-12-22
7006,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,5228,2,1980,Female,2,7,7,26,2024-11-25
7007,8 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,5200,3,1988,Female,3,8,8,27,2023-08-28
7008,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),22,Howard St at Beale St,5130,1,1989,Female,1,5,5,27,2026-02-20
7009,9 minutes,22,Howard St at Beale St,364,China Basin St at 3rd St,1830,2,1974,Male,2,9,9,26,2020-06-17
7010,13 minutes,22,Howard St at Beale St,324,Union Square (Powell St at Post St),3551,2,1943,Female,2,13,13,27,2023-08-22
7011,11 minutes,22,Howard St at Beale St,88,11th St at Bryant St,4426,2,1983,Male,2,11,11,26,2024-06-01
7012,2 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5458,2,1981,Male,2,2,2,26,2024-03-21
7013,8 minutes,81,Berry St at 4th St,22,Howard St at Beale St,5284,3,1974,Male,3,8,8,26,2021-07-02
7014,7 minutes,81,Berry St at 4th St,24,Spear St at Folsom St,6235,2,1981,Female,2,7,7,26,2025-10-15
7015,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),22,Howard St at Beale St,3079,1,1982,Male,1,5,5,27,2022-03-21
7016,6 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,3656,1,1994,Male,1,6,6,26,2021-12-26
7017,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),9,Broadway at Battery St,5463,2,1976,Male,2,4,4,26,2024-05-08
7018,10 minutes,81,Berry St at 4th St,78,Folsom St at 9th St,4877,2,1988,Female,2,10,10,26,2024-02-14
7019,17 minutes,16,Steuart St at Market St,126,Esprit Park,5142,2,1968,Female,2,17,17,26,2023-10-12
7020,10 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,3117,1,1985,Female,1,10,10,27,2025-12-08
7021,17 minutes,30,San Francisco Caltrain (Townsend St at 4th St),9,Broadway at Battery St,2946,2,1967,Male,2,17,17,27,2023-06-18
7022,5 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,5297,3,1993,Male,3,5,5,27,2021-01-20
7023,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),13,Commercial St at Montgomery St,4383,1,1995,Female,1,15,15,27,2023-06-12
7024,5 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,4946,2,1995,Male,2,5,5,26,2026-03-15
7025,15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),1366,2,1993,Female,2,15,15,26,2025-12-04
7026,7 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,1455,3,1984,Male,3,7,7,27,2023-10-05
7027,7 minutes,3,Powell St BART Station (Market St at 4th St),66,3rd St at Townsend St,5098,2,1986,Male,2,7,7,27,2023-05-13
7028,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),129,Harrison St at 20th St,5253,1,1989,Male,1,11,11,27,2020-05-12
7029,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,2651,2,1988,Female,2,15,15,26,2023-08-14
7030,16 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,5402,3,1982,Male,3,16,16,26,2021-07-21
7031,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,1518,3,1982,Male,3,11,11,26,2025-06-15
7032,10 minutes,22,Howard St at Beale St,66,3rd St at Townsend St,4626,2,1985,Male,2,10,10,26,2024-04-12
7033,7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,3358,1,1986,Female,1,7,7,27,2021-08-29
7034,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,4944,1,1991,Male,1,7,7,26,2025-04-16
7035,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5038,1,1977,Male,1,8,8,26,2020-12-20
7036,5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5054,3,1964,Male,3,5,5,26,2024-06-09
7037,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,1620,2,1990,Male,2,12,12,26,2022-04-06
7038,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),58,Market St at 10th St,611,2,1967,Male,2,15,15,26,2020-10-05
7039,5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5559,1,1971,Male,1,5,5,27,2021-08-24
7040,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5130,2,1994,Male,2,9,9,26,2024-12-27
7041,5 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,3662,2,1971,Male,2,5,5,27,2024-05-12
7042,6 minutes,81,Berry St at 4th St,104,4th St at 16th St,2852,1,1995,Female,1,6,6,27,2021-08-28
7043,11 minutes,16,Steuart St at Market St,104,4th St at 16th St,4768,1,1980,Female,1,11,11,26,2022-03-03
7044,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,5416,3,1970,Male,3,9,9,26,2024-11-11
7045,7 minutes,22,Howard St at Beale St,80,Townsend St at 5th St,4337,1,1985,Male,1,7,7,27,2026-01-20
7046,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),3113,3,1992,Male,3,7,7,26,2022-06-12
7047,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5016,2,1982,Male,2,4,4,26,2024-05-09
7048,17 minutes,81,Berry St at 4th St,42,San Francisco City Hall (Polk St at Grove St),191,2,1984,Female,2,17,17,26,2024-07-18
7049,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,873,1,1983,Male,1,8,8,26,2023-05-04
7050,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),102,Irwin St at 8th St,2752,2,1963,Female,2,7,7,27,2020-04-06
7051,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),19,Post St at Kearny St,1523,1,1972,Male,1,7,7,26,2024-07-29
7052,10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,5409,3,1993,Female,3,10,10,27,2021-08-14
7053,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,4796,1,1984,Male,1,4,4,27,2022-10-06
7054,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,4571,1,1984,Female,1,6,6,27,2021-10-18
7055,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),88,11th St at Bryant St,5246,3,1989,Female,3,7,7,27,2025-12-14
7056,7 minutes,5,Powell St BART Station (Market St at 5th St),90,Townsend St at 7th St,3678,1,1969,Male,1,7,7,27,2021-09-15
7057,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),25,Howard St at 2nd St,603,1,1972,Male,1,7,7,26,2022-07-14
7058,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,5462,2,1990,Male,2,7,7,26,2025-05-30
7059,12 minutes,81,Berry St at 4th St,8,The Embarcadero at Vallejo St,981,2,1969,Male,2,12,12,27,2023-09-30
7060,8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),49,S Park St at 3rd St,5557,2,1974,Male,2,8,8,27,2023-03-17
7061,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,5274,1,1981,Male,1,6,6,26,2024-02-11
7062,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,5290,1,1995,Male,1,12,12,27,2022-06-22
7063,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,5440,3,1992,Male,3,5,5,27,2021-11-20
7064,18 minutes,21,Montgomery St BART Station (Market St at 2nd St),52,McAllister St at Baker St,5278,3,1993,Female,3,18,18,26,2023-10-31
7065,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,91,2,1975,Male,2,6,6,27,2024-10-06
7066,2 minutes,81,Berry St at 4th St,91,Berry St at King St,2531,2,1990,Female,2,2,2,27,2023-11-18
7067,10 minutes,22,Howard St at Beale St,44,Civic Center/UN Plaza BART Station (Market St at McAllister St),2174,2,1976,Male,2,10,10,27,2024-06-25
7068,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),25,Howard St at 2nd St,4756,1,1984,Male,1,5,5,26,2022-03-10
7069,33 minutes,81,Berry St at 4th St,10,Washington St at Kearny St,5368,2,1982,Female,2,33,33,27,2023-06-21
7070,4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5224,2,1971,Female,2,4,4,27,2023-05-08
7071,9 minutes,22,Howard St at Beale St,77,11th St at Natoma St,5012,1,1967,Male,1,9,9,26,2025-12-04
7072,17 minutes,30,San Francisco Caltrain (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),1367,1,1989,Female,1,17,17,27,2020-08-13
7073,7 minutes,22,Howard St at Beale St,49,S Park St at 3rd St,5245,2,1984,Female,2,7,7,27,2024-01-24
7074,3 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,2533,2,1981,Female,2,3,3,27,2023-08-17
7075,7 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,4848,3,1971,Male,3,7,7,26,2024-05-11
7076,14 minutes,81,Berry St at 4th St,11,Davis St at Jackson St,1846,1,1980,Male,1,14,14,26,2023-11-20
7077,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),8,The Embarcadero at Vallejo St,427,2,1993,Male,2,13,13,26,2025-07-15
7078,6 minutes,5,Powell St BART Station (Market St at 5th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5440,2,1990,Male,2,6,6,27,2021-09-02
7079,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),2191,2,1957,Male,2,11,11,27,2026-03-09
7080,11 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),953,2,1991,Male,2,11,11,27,2024-10-30
7081,12 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5065,2,1985,Female,2,12,12,27,2023-11-27
7082,11 minutes,16,Steuart St at Market St,104,4th St at 16th St,5023,3,1984,Male,3,11,11,27,2025-03-28
7083,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3711,1,1991,Male,1,10,10,26,2021-06-22
7084,12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),8,The Embarcadero at Vallejo St,1113,3,1992,Male,3,12,12,27,2022-05-03
7085,10 minutes,16,Steuart St at Market St,80,Townsend St at 5th St,4442,2,1991,Male,2,10,10,26,2022-12-14
7086,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,5200,3,1984,Male,3,15,15,26,2023-09-05
7087,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),2123,2,1988,Male,2,12,12,26,2022-12-19
7088,8 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,4426,3,1989,Male,3,8,8,26,2020-08-06
7089,6 minutes,22,Howard St at Beale St,49,S Park St at 3rd St,283,1,1962,Male,1,6,6,27,2022-08-13
7090,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),290,2,1984,Male,2,10,10,27,2022-11-17
7091,13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),2533,3,1967,Male,3,13,13,27,2020-04-04
7092,22 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,1301,2,1958,Male,2,22,22,26,2023-11-07
7093,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,2743,2,1988,Male,2,11,11,27,2022-05-09
7094,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),479,1,1973,Female,1,11,11,27,2022-07-07
7095,5 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,5417,1,1991,Male,1,5,5,26,2024-10-27
7096,9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,4993,2,1969,Female,2,9,9,27,2025-08-19
7097,7 minutes,81,Berry St at 4th St,28,The Embarcadero at Bryant St,536,1,1984,Male,1,7,7,26,2022-03-03
7098,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),89,Division St at Potrero Ave,1919,1,1975,Female,1,8,8,27,2023-02-04
7099,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),89,Division St at Potrero Ave,955,3,1985,Female,3,8,8,27,2025-07-28
7100,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,5558,1,1990,Male,1,6,6,27,2023-11-16
7101,16 minutes,22,Howard St at Beale St,101,15th St at Potrero Ave,4778,1,1977,Male,1,16,16,26,2021-04-04
7102,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,3392,1,1974,Male,1,7,7,27,2025-09-16
7103,9 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),652,2,1988,Male,2,9,9,26,2025-01-14
7104,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),104,4th St at 16th St,2310,1,1983,Male,1,7,7,26,2021-07-06
7105,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),3148,2,1985,Male,2,9,9,26,2022-01-16
7106,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),79,7th St at Brannan St,3197,1,1960,Male,1,14,14,26,2022-08-07
7107,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),2832,2,1973,Male,2,9,9,27,2024-05-23
7108,3 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,5024,3,1977,Male,3,3,3,27,2022-04-15
7109,7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4926,2,1996,Female,2,7,7,26,2021-02-22
7110,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5114,2,1994,Female,2,7,7,27,2026-02-12
7111,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),6,The Embarcadero at Sansome St,5530,1,1986,Male,1,7,7,26,2023-01-05
7112,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,5055,2,1987,Male,2,9,9,26,2021-02-27
7113,16 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,4639,2,1993,Male,2,16,16,27,2025-04-16
7114,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),1142,3,1983,Male,3,7,7,27,2026-01-21
7115,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),90,Townsend St at 7th St,3617,3,1991,Male,3,5,5,26,2024-08-08
7116,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,5047,3,1989,Male,3,8,8,26,2021-11-28
7117,7 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),4756,1,1985,Male,1,7,7,27,2020-04-18
7118,4 minutes,30,San Francisco Caltrain (Townsend St at 4th St),90,Townsend St at 7th St,3241,2,1977,Male,2,4,4,27,2024-08-17
7119,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),3443,2,1986,Male,2,5,5,26,2025-01-29
7120,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),343,Bryant St at 2nd St,1620,2,1988,Male,2,5,5,27,2026-02-26
7121,2 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,3247,3,1983,Female,3,2,2,26,2024-10-04
7122,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,4979,2,1990,Female,2,7,7,26,2020-09-16
7123,10 minutes,81,Berry St at 4th St,21,Montgomery St BART Station (Market St at 2nd St),5462,2,1983,Female,2,10,10,27,2021-12-05
7124,3 minutes,81,Berry St at 4th St,104,4th St at 16th St,5035,2,1999,Male,2,3,3,26,2023-06-18
7125,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),21,Montgomery St BART Station (Market St at 2nd St),1584,1,1960,Male,1,4,4,27,2022-06-15
7126,14 minutes,22,Howard St at Beale St,90,Townsend St at 7th St,875,2,1988,Female,2,14,14,26,2023-06-22
7127,13 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),60,8th St at Ringold St,5474,3,1980,Male,3,13,13,26,2021-10-22
7128,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),25,Howard St at 2nd St,4804,3,1962,Male,3,5,5,27,2021-11-25
7129,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,5253,2,1983,Male,2,3,3,26,2021-09-28
7130,13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5229,2,1973,Male,2,13,13,26,2026-03-14
7131,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,4611,3,1982,Male,3,7,7,27,2023-11-28
7132,18 minutes,22,Howard St at Beale St,102,Irwin St at 8th St,2726,3,1961,Female,3,18,18,27,2024-11-16
7133,14 minutes,30,San Francisco Caltrain (Townsend St at 4th St),9,Broadway at Battery St,184,1,1988,Male,1,14,14,26,2024-09-15
7134,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),368,Myrtle St at Polk St,4827,2,1989,Female,2,11,11,26,2020-04-08
7135,3 minutes,21,Montgomery St BART Station (Market St at 2nd St),13,Commercial St at Montgomery St,1459,2,1973,Male,2,3,3,27,2023-06-09
7136,5 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4768,1,1990,Male,1,5,5,26,2024-10-21
7137,3 minutes,21,Montgomery St BART Station (Market St at 2nd St),13,Commercial St at Montgomery St,4344,3,1992,Male,3,3,3,26,2025-04-24
7138,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,2698,1,1963,Male,1,11,11,27,2024-03-13
7139,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,4602,2,1978,Female,2,10,10,26,2024-02-15
7140,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),14,Clay St at Battery St,137,2,1959,Male,2,10,10,27,2023-10-29
7141,13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6,The Embarcadero at Sansome St,5409,2,1993,Male,2,13,13,26,2022-02-10
7142,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5114,2,1977,Male,2,11,11,27,2022-08-16
7143,10 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,2602,2,1961,Male,2,10,10,27,2024-06-08
7144,5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,1948,2,1991,Other,2,5,5,27,2021-11-29
7145,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),16,Steuart St at Market St,3358,2,1967,Male,2,10,10,27,2023-07-18
7146,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),24,Spear St at Folsom St,5353,2,1966,Male,2,9,9,27,2024-10-25
7147,1333 minutes,16,Steuart St at Market St,3,Powell St BART Station (Market St at 4th St),1101,1,1967,Male,1,1333,1333,26,2026-02-09
7148,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),20,Mechanics Monument Plaza (Market St at Bush St),5560,3,1985,Male,3,8,8,26,2023-08-12
7149,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),88,11th St at Bryant St,5481,3,1989,Male,3,7,7,26,2024-04-12
7150,10 minutes,5,Powell St BART Station (Market St at 5th St),93,4th St at Mission Bay Blvd S,1100,2,1995,Male,2,10,10,27,2022-07-02
7151,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,4778,1,1967,Male,1,7,7,27,2021-05-07
7152,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),4611,2,1992,Male,2,7,7,26,2020-06-17
7153,3 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5520,1,1974,Male,1,3,3,27,2025-02-14
7154,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,1057,3,1974,Male,3,12,12,26,2020-05-16
7155,6 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,4811,2,1988,Male,2,6,6,26,2020-06-05
7156,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,4934,1,1992,Female,1,4,4,27,2026-01-20
7157,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5255,1,1993,Male,1,5,5,27,2026-01-19
7158,11 minutes,22,Howard St at Beale St,80,Townsend St at 5th St,1498,2,1991,Male,2,11,11,26,2022-02-28
7159,6 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4978,3,1974,Male,3,6,6,26,2020-06-22
7160,9 minutes,81,Berry St at 4th St,11,Davis St at Jackson St,5399,2,1980,Male,2,9,9,27,2022-11-24
7161,4 minutes,22,Howard St at Beale St,16,Steuart St at Market St,4811,1,1962,Female,1,4,4,27,2025-11-22
7162,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,5065,2,1993,Male,2,9,9,27,2025-03-06
7163,7 minutes,81,Berry St at 4th St,19,Post St at Kearny St,5025,1,1994,Male,1,7,7,27,2020-08-07
7164,6 minutes,22,Howard St at Beale St,50,2nd St at Townsend St,2727,3,1994,Male,3,6,6,27,2025-02-08
7165,3 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,5137,1,1956,Male,1,3,3,26,2025-05-18
7166,9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,4795,2,1990,Female,2,9,9,26,2021-07-31
7167,15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),14,Clay St at Battery St,567,3,1968,Male,3,15,15,27,2024-02-10
7168,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5224,2,1986,Female,2,5,5,26,2022-12-12
7169,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),20,Mechanics Monument Plaza (Market St at Bush St),183,2,1965,Male,2,4,4,27,2024-11-29
7170,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,4800,1,1980,Male,1,6,6,27,2024-01-23
7171,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,1838,1,1991,Female,1,11,11,27,2025-09-19
7172,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),19,Post St at Kearny St,5011,3,1983,Male,3,7,7,27,2023-08-30
7173,8 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,2597,3,1973,Male,3,8,8,27,2024-09-01
7174,15 minutes,16,Steuart St at Market St,74,Laguna St at Hayes St,4600,3,1957,Male,3,15,15,27,2022-11-12
7175,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,322,3,1995,Female,3,6,6,27,2025-08-17
7176,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),41,Golden Gate Ave at Polk St,4725,3,1963,Male,3,9,9,27,2025-08-09
7177,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),4,Cyril Magnin St at Ellis St,4812,2,1990,Male,2,6,6,27,2022-07-15
7178,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,1003,1,1985,Male,1,3,3,26,2021-04-29
7179,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,3571,2,1974,Male,2,5,5,27,2025-02-19
7180,3 minutes,16,Steuart St at Market St,8,The Embarcadero at Vallejo St,1481,2,1974,Female,2,3,3,27,2024-04-08
